Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,CC Fee,Fee Percent,Auction Fee Subtotal,Auction Fee Total,Pay Status ,Paid Date ,Asset #,Inventory ID,Decal /Vehicle ID,VTR Number,Receipt Number ,Cap,Expenses,Net Sales,Fund,Business Unit
Dell Laptop w/Bag,79519,ITS,11/26/2013,$78.51 ,$1.81 ,0.23,$18.05 ,$18.05 ,Successful,1/3/2014,,74576,,,3603198592,"$3,000 ",$0.00 ,$60.45 ,General Fund,0
21 Dell Optiplex 760 Computers,79530,ITS,11/26/2013,$451.51 ,$10.38 ,0.23,$103.84 ,$103.84 ,Successful,1/16/2014,,"75160, 75144, 75143, 75165, 75149, 75167, 75140, 75145, 75138, 75148, 75204, 75192, 75162, 75210, 75151, 75154, 75170, 75157, 75150, 75161, 75212",,,3604173051,"$3,000 ",$0.00 ,$347.66 ,General Fund,0
Wheel Chair Lift,79662,SCHOOL BOARD WAREHOUSE,12/4/2013,$158.99 ,$3.66 ,0.23,$36.56 ,$36.56 ,Successful,1/13/2014,,SBS-6182,,,3603868643,"$3,000 ",$0.00 ,$122.42 ,Enterprise,0
1 Pallet of Assorted Tires,79667,SCHOOL BOARD WAREHOUSE,12/4/2013,$106.00 ,$2.44 ,0.23,$24.38 ,$24.38 ,Successful,1/6/2014,,SBS-6170D,,,3603354629,"$3,000 ",$0.00 ,$81.62 ,Enterprise,0
3 Catalytic Converters,79706,OFM,12/5/2013,$125.01 ,$0.00 ,0.23,$28.75 ,$28.75 ,Successful,1/7/2014,,OFM-75625A,,,Money Order,"$3,000 ",$0.00 ,$96.25 ,Enterprise,0
Southbend Fryer,79759,SCHOOL BOARD WAREHOUSE,12/11/2013,$258.00 ,$0.00 ,0.23,$59.34 ,$59.34 ,Successful,1/21/2014,,SBS-6120,,,Money Order,"$3,000 ",$0.00 ,$198.66 ,Enterprise,0
Desk,79762,PARKS,12/11/2013,$8.00 ,$0.18 ,0.23,$1.84 ,$1.84 ,Successful,1/14/2014,,73776,,,3603986157,"$3,000 ",$0.00 ,$6.16 ,General Fund,0
3 File Cabinets,79765,PUBLIC DEFENDER,12/12/2013,$33.11 ,$0.76 ,0.23,$7.61 ,$7.61 ,Successful,1/15/2014,,"74820, 74821, 74822",,,3604097208,"$3,000 ",$0.00 ,$25.49 ,General Fund,0
2 Care Play Easels,79792,SURPLUS WAREHOUSE,12/16/2013,$65.00 ,$1.50 ,0.23,$14.95 ,$14.95 ,Successful,1/14/2014,,74836,,,3603946008,"$3,000 ",$0.00 ,$50.05 ,General Fund,0
Hammond Organ w/Bench,79799,SURPLUS WAREHOUSE,12/16/2013,$62.78 ,$1.44 ,0.23,$14.43 ,$14.43 ,Successful,1/14/2014,,75582,,,3603986174,"$3,000 ",$0.00 ,$48.34 ,General Fund,0
"3 Sony 20"" Televisions",79800,SURPLUS WAREHOUSE,12/16/2013,$2.00 ,$0.05 ,0.23,$0.46 ,$0.46 ,Successful,1/14/2014,,75580,,,3603986210,"$3,000 ",$0.00 ,$1.54 ,General Fund,0
Dell Laptop,79874,ITS,12/18/2013,$75.00 ,$1.72 ,0.23,$17.25 ,$17.25 ,Successful,1/16/2014,,75417,,,3604211088,"$3,000 ",$0.00 ,$57.75 ,General Fund,0
Dell Laptop,79876,ITS,12/18/2013,$73.00 ,$1.68 ,0.23,$16.79 ,$16.79 ,Successful,1/6/2014,,75413,,,3603336103,"$3,000 ",$0.00 ,$56.21 ,General Fund,0
Dell Laptop,79881,ITS,12/18/2013,$65.00 ,$1.50 ,0.23,$14.95 ,$14.95 ,Successful,1/16/2014,,75433,,,3604173117,"$3,000 ",$0.00 ,$50.05 ,General Fund,0
Dell Computer System,79883,ITS,12/18/2013,$73.51 ,$0.00 ,0.23,$16.90 ,$16.90 ,Successful,1/2/2014,,"75244, 75572",,,Money Order,"$3,000 ",$0.00 ,$56.60 ,General Fund,0
Dell Computer System,79885,ITS,12/18/2013,$63.51 ,$0.00 ,0.23,$14.60 ,$14.60 ,Successful,1/2/2014,,"75237, 75305",,,Money Order,"$3,000 ",$0.00 ,$48.90 ,General Fund,0
8 Chairs,79895,NASHVILLE CONVENTION CTR,12/18/2013,$84.05 ,$0.00 ,0.23,$19.33 ,$19.33 ,Successful,1/2/2014,,NCC-74912,,,Money Order,"$3,000 ",$0.00 ,$64.71 ,Enterprise,0
7 Rugs,79900,METRO ACTION,12/18/2013,$155.00 ,$3.56 ,0.23,$35.65 ,$35.65 ,Successful,1/16/2014,,MAC-74141D,,,3604156925,"$3,000 ",$0.00 ,$119.35 ,Enterprise,0
Storage Cabinet,79912,SCHOOL BOARD WAREHOUSE,1/6/2014,$62.00 ,$1.43 ,0.23,$14.26 ,$14.26 ,Successful,1/8/2014,,SBS-6210,,,3603475402,"$3,000 ",$0.00 ,$47.74 ,Enterprise,0
Winston Warmer,79913,SCHOOL BOARD WAREHOUSE,1/6/2014,$50.00 ,$0.00 ,0.23,$11.50 ,$11.50 ,Successful,1/9/2014,,SBS-6217,,,Money Order,"$3,000 ",$0.00 ,$38.50 ,Enterprise,0
2 Vollrath Warming Cabinets,79914,SCHOOL BOARD WAREHOUSE,1/6/2014,$125.00 ,$2.88 ,0.23,$28.75 ,$28.75 ,Successful,1/10/2014,,SBS-6212,,,3603744332,"$3,000 ",$0.00 ,$96.25 ,Enterprise,0
Hobart 512 TMS Slicer,79915,SCHOOL BOARD WAREHOUSE,1/6/2014,$126.99 ,$0.00 ,0.23,$29.20 ,$29.20 ,Successful,1/13/2014,,SBS-6205,,,Cashiers Check,"$3,000 ",$0.00 ,$97.78 ,Enterprise,0
Hobart 512 Slicer,79916,SCHOOL BOARD WAREHOUSE,1/6/2014,$103.00 ,$2.37 ,0.23,$23.69 ,$23.69 ,Successful,2/18/2014,,SBS-6206,,,3606505419,"$3,000 ",$0.00 ,$79.31 ,Enterprise,0
Hobart 512 Slicer,79918,SCHOOL BOARD WAREHOUSE,1/6/2014,$98.99 ,$2.28 ,0.23,$22.76 ,$22.76 ,Successful,1/6/2014,,SBS-6204B,,,3603314944,"$3,000 ",$0.00 ,$76.22 ,Enterprise,0
Hobart 512 TMS Slicer,79919,SCHOOL BOARD WAREHOUSE,1/6/2014,$79.99 ,$1.84 ,0.23,$18.39 ,$18.39 ,Successful,1/6/2014,,SBS-6204C,,,3603314951,"$3,000 ",$0.00 ,$61.59 ,Enterprise,0
Hobart 512 TMS Slicer,79920,SCHOOL BOARD WAREHOUSE,1/6/2014,$34.00 ,$0.00 ,0.23,$7.82 ,$7.82 ,Successful,1/8/2014,,SBS-6204D,,,Cashiers Check,"$3,000 ",$0.00 ,$26.18 ,Enterprise,0
Hobart 410 Slicer,79921,SCHOOL BOARD WAREHOUSE,1/6/2014,$16.00 ,$0.00 ,0.23,$3.68 ,$3.68 ,Successful,1/8/2014,,SBS-6204E,,,Money Order,"$3,000 ",$0.00 ,$12.32 ,Enterprise,0
Assorted Kitchen Ware,79922,SCHOOL BOARD WAREHOUSE,1/6/2014,$81.27 ,$1.87 ,0.23,$18.69 ,$18.69 ,Successful,1/8/2014,,SBS-6215A,,,3603497119,"$3,000 ",$0.00 ,$62.57 ,Enterprise,0
Assorted Kitchen Ware,79923,SCHOOL BOARD WAREHOUSE,1/6/2014,$89.56 ,$2.06 ,0.23,$20.60 ,$20.60 ,Successful,2/18/2014,,SBS-6215B,,,3606505439,"$3,000 ",$0.00 ,$68.96 ,Enterprise,0
